[本金手指由SXCCE软件生成！本行无任何效果！]
[本金手指作者：revolution]
[贵石最大]
041F0000 122D407C 0098967f
04100000 122D97F4 000003E7
04100000 122D97F6 000003E7
04100000 122D97F8 000003E7
04100000 122D97FA 000003E7
04100000 122D97FC 000003E7
04100000 122D97FE 000003E7
04100000 122D9800 000003E7
04100000 122D9802 000003E7
04100000 122D9804 000003E7
04100000 122D9806 000003E7
04100000 122D9808 000003E7
04100000 122D980A 000003E7
04100000 122D980C 000003E7
04100000 122D980E 000003E7
04100000 122D9810 000003E7
04100000 122D9812 000003E7
04100000 122D9814 000003E7
04100000 122D9816 000003E7
04100000 122D9818 000003E7
04100000 122D981A 000003E7
04100000 122D981C 000003E7
04100000 122D981E 000003E7
04100000 122D9820 000003E7
04100000 122D9822 000003E7
04100000 122D9824 000003E7
04100000 122D9826 000003E7
04100000 122D9828 000003E7
04100000 122D982A 000003E7
04100000 122D982C 000003E7
04100000 122D982E 000003E7
04100000 122D9830 000003E7
04100000 122D9832 000003E7
04100000 122D9834 000003E7
04100000 122D9836 000003E7
04100000 122D9838 000003E7
04100000 122D983A 000003E7
04100000 122D983C 000003E7
04100000 122D983E 000003E7
04100000 122D9840 000003E7
04100000 122D9842 000003E7
04100000 122D9844 000003E7
04100000 122D9846 000003E7
04100000 122D9848 000003E7
04100000 122D984A 000003E7
04100000 122D984C 000003E7
04100000 122D984E 000003E7
04100000 122D9850 000003E7
04100000 122D9852 000003E7
04100000 122D9854 000003E7
04100000 122D9856 000003E7
04100000 122D9858 000003E7
04100000 122D985A 000003E7
04100000 122D985C 000003E7
04100000 122D985E 000003E7
04100000 122D9860 000003E7
04100000 122D9862 000003E7
04100000 122D9864 000003E7
04100000 122D9866 000003E7
04100000 122D9868 000003E7
04100000 122D986A 000003E7
04100000 122D986C 000003E7
04100000 122D986E 000003E7
04100000 122D9870 000003E7
04100000 122D9872 000003E7
04100000 122D9874 000003E7
04100000 122D9876 000003E7
04100000 122D9878 000003E7
04100000 122D987A 000003E7
04100000 122D987C 000003E7
04100000 122D987E 000003E7
04100000 122D9880 000003E7
04100000 122D9882 000003E7
04100000 122D9884 000003E7
04100000 122D9886 000003E7
04100000 122D9888 000003E7
04100000 122D988A 000003E7
04100000 122D988C 000003E7
04100000 122D988E 000003E7
04100000 122D9890 000003E7
04100000 122D9892 000003E7
04100000 122D9894 000003E7
04100000 122D9896 000003E7
04100000 122D9898 000003E7
04100000 122D989A 000003E7
04100000 122D989C 000003E7
04100000 122D989E 000003E7
04100000 122D98A0 000003E7
04100000 122D98A2 000003E7
04100000 122D98A4 000003E7
04100000 122D98A6 000003E7
04100000 122D98A8 000003E7
04100000 122D98AA 000003E7
04100000 122D98AC 000003E7
04100000 122D98AE 000003E7
04100000 122D98B0 000003E7
04100000 122D9A6E 000003E7
04100000 122D9A70 000003E7
04100000 122D9A72 000003E7
04100000 122D9A74 000003E7
04100000 122D9A76 000003E7
04100000 122D9A78 000003E7
04100000 122D9A7A 000003E7
04100000 122D9A7C 000003E7
04100000 122D9A7E 000003E7
04100000 122D9A80 000003E7
04100000 122D9A82 000003E7
04100000 122D9A84 000003E7
04100000 122D9A86 000003E7
[珀尔修斯英雄兜Max]
04100000 122D98B0 000003E7
[武器熟练度最大]
300E0000 00001F5F
02100000 12398A2E 0000AF00
78000000 00000024
310E0000
2000000
